State,Period,Depression_Score,Anxiety_Score,Mix_Score,deathIncrease,death,hospitalizedCurrently,positiveCasesIncrease,positiveCasesViral,totalTestsPeopleViralIncrease,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
NH,2,23.3,30.4,35.0,6.833333333333333,123.83333333333333,112.5,1317.6666666666667,34893.666666666664,0.0,4515570.0,14474842.0,67071778.0,15275678.0,16123388.0,8185788.0,10442032.0,11256628.0,4388096.0,1146066.0,198604.0,23128.0,32370.0
NJ,2,26.4,36.3,39.6,172.33333333333334,10758.5,4510.0,24023.333333333332,344677.1666666667,-48153.333333333336,35256158.0,89463122.0,423387866.0,126838044.0,109634034.0,48671410.0,58497546.0,53734156.0,17974792.0,5594214.0,1823832.0,392882.0,226956.0
NM,2,29.0,30.2,39.8,8.333333333333334,195.16666666666666,199.33333333333334,17666.333333333332,22360.833333333332,0.0,7211159.0,22124833.0,103686296.0,28211705.0,27856342.0,12725481.0,14583792.0,11417174.0,4708774.0,2703867.0,1203178.0,234753.0,41230.0
NY,2,29.2,33.0,36.9,328.0,21351.166666666668,7698.0,2882.1666666666665,333685.5,0.0,89530894.0,184060032.0,967617452.0,292308092.0,248309600.0,115152382.0,140304492.0,123744478.0,32839770.0,10146492.0,3517220.0,743774.0,551152.0
NC,2,20.2,25.9,28.1,16.666666666666668,542.0,489.0,431.3333333333333,14463.333333333334,0.0,30969582.0,114401098.0,489304022.0,111013184.0,122480650.0,62919542.0,80236394.0,75661306.0,24479546.0,8003294.0,3600212.0,724602.0,185292.0
ND,2,20.2,25.4,28.6,0.5,24.0,33.833333333333336,1946.0,48846.333333333336,1490.8333333333333,2533067.0,8105722.0,31853045.0,8556678.0,8630663.0,4023461.0,3944394.0,3301806.0,1671210.0,1120626.0,504128.0,78111.0,21968.0
OH,2,26.4,26.4,32.8,35.166666666666664,1340.3333333333333,1008.5,8219.166666666666,189110.83333333334,0.0,39783554.0,123868634.0,526933482.0,137038568.0,131259808.0,64046334.0,80235578.0,79942476.0,23443956.0,7377506.0,2714222.0,617568.0,257466.0
OK,2,20.7,27.2,31.0,4.166666666666667,270.0,195.33333333333334,3859.6666666666665,95247.0,0.0,12210422.0,42992684.0,167899464.0,41151000.0,42984630.0,20247762.0,24970552.0,25377502.0,8223898.0,3340336.0,1342548.0,215140.0,46096.0
OR,2,17.8,26.2,29.9,2.5,126.5,160.33333333333334,55.833333333333336,3119.1666666666665,0.0,16470497.0,42199485.0,173102113.0,50389438.0,44961421.0,20152950.0,22281368.0,23449571.0,7446271.0,3027963.0,1035972.0,228781.0,128378.0
PA,2,23.0,28.4,32.0,116.66666666666667,3660.6666666666665,2273.3333333333335,6606.666666666667,279945.8333333333,6606.666666666667,46713152.0,132585688.0,561627924.0,152794220.0,141997470.0,67717312.0,84935700.0,78306746.0,23059264.0,8298142.0,3718466.0,568274.0,232330.0
RI,2,22.8,26.9,33.8,12.333333333333334,416.8333333333333,293.0,2849.5,97538.5,1927.6666666666667,3717154.0,11085256.0,49536940.0,13540256.0,13447034.0,5989512.0,7215544.0,6866394.0,1945868.0,387034.0,89144.0,29482.0,26672.0
SD,2,20.5,26.1,29.8,1.6666666666666667,33.833333333333336,75.66666666666667,963.5,23004.666666666668,963.5,2840013.0,9511277.0,40546160.0,10506562.0,10556943.0,4897433.0,5477775.0,5065485.0,2328892.0,1117038.0,500329.0,71849.0,23854.0
TN,2,21.7,29.6,34.7,4.333333333333333,246.5,545.5,362.1666666666667,14990.833333333334,0.0,19775536.0,75004604.0,318946814.0,73753246.0,81110778.0,40701362.0,50526634.0,49398966.0,15323934.0,5079340.0,2277878.0,628850.0,145826.0
TX,2,25.7,32.4,35.9,30.833333333333332,1057.8333333333333,1682.5,1104.3333333333333,38274.166666666664,0.0,84278130.0,317547700.0,1161121868.0,296328380.0,293243994.0,137708004.0,169109076.0,170548904.0,60680521.0,21284630.0,9598846.0,1991010.0,628503.0
UT,2,22.6,26.0,30.4,2.5,66.0,175.33333333333334,3923.5,158915.0,3370.1666666666665,11091868.0,33163602.0,154767495.0,42405169.0,39635547.0,19368658.0,22109098.0,19335713.0,7048882.0,2623838.0,1801722.0,347992.0,90876.0
VT,2,26.8,31.8,35.7,0.16666666666666666,53.0,17.166666666666668,493.3333333333333,21710.5,0.0,2244226.0,6523960.0,31551046.0,7019514.0,8402168.0,4217576.0,4645414.0,4939262.0,1737102.0,438672.0,117912.0,16742.0,16684.0
VA,2,20.6,26.8,30.6,29.666666666666668,831.3333333333334,1569.8333333333333,874.0,22558.166666666668,0.0,28691620.0,90555970.0,399516904.0,104286772.0,99836578.0,49315918.0,60368428.0,57659180.0,18706864.0,6205888.0,2466888.0,471492.0,198896.0
WA,2,22.9,28.5,35.0,13.833333333333334,910.5,358.3333333333333,3838.8333333333335,242924.66666666666,3838.8333333333335,28349702.0,77148572.0,306851842.0,88574197.0,77667914.0,34785815.0,42682378.0,42376585.0,13919654.0,4550276.0,1723569.0,307302.0,264152.0
WV,2,31.8,34.6,39.0,1.1666666666666667,53.333333333333336,57.0,1547.5,61522.666666666664,0.0,6243326.0,19038322.0,80794954.0,18713794.0,20912234.0,10366406.0,12726460.0,11691296.0,4163946.0,1555816.0,563104.0,78598.0,23300.0
WI,2,22.9,25.6,29.7,9.333333333333334,397.1666666666667,336.8333333333333,285.0,9998.666666666666,0.0,19272686.0,62117266.0,253610018.0,62911468.0,60667690.0,29720006.0,37979472.0,39497394.0,14560252.0,5398378.0,2366780.0,392934.0,115644.0
WY,2,18.6,22.5,27.9,0.0,7.0,11.0,413.8333333333333,13429.0,0.0,2061420.0,6026898.0,28963044.0,8425704.0,8064024.0,3708268.0,2893164.0,2443290.0,1840120.0,1044230.0,471234.0,56164.0,16846.0
AL,3,19.6,20.7,25.2,9.166666666666666,484.8333333333333,494.6666666666667,4058.0,151161.33333333334,0.0,10905930.0,57524264.0,221248810.0,50176066.0,54036570.0,29306026.0,35532984.0,33845780.0,11926524.0,4314758.0,1662364.0,391782.0,55956.0
AK,3,23.6,26.2,32.7,0.0,10.0,11.333333333333334,955.1666666666666,34017.166666666664,0.0,2707734.0,7600289.0,33584922.0,10122815.0,9239089.0,4182362.0,4560070.0,3264249.0,1542433.0,457401.0,137941.0,34095.0,44467.0
AZ,3,20.0,29.0,32.1,18.333333333333332,670.6666666666666,798.0,5636.833333333333,148822.0,5636.833333333333,23068396.0,77334648.0,291674648.0,84185074.0,68392966.0,33170654.0,40643016.0,42731894.0,14061188.0,4913410.0,2920074.0,459160.0,197212.0
AR,3,28.9,28.7,35.2,1.1666666666666667,98.83333333333333,69.0,3414.3333333333335,83824.5,0.0,7074648.0,35118902.0,136678150.0,32751120.0,35164852.0,17116958.0,20821284.0,19455822.0,7003150.0,2873848.0,1207834.0,248126.0,35156.0
CA,3,28.7,32.3,38.8,66.66666666666667,3206.8333333333335,4440.5,45620.666666666664,1214152.3333333333,0.0,133793164.0,420005466.0,1425102566.0,387458628.0,355967112.0,159163654.0,195741312.0,202046908.0,80502810.0,29827852.0,11227566.0,2430740.0,735984.0
CO,3,23.7,27.6,33.1,-15.666666666666666,935.6666666666666,651.3333333333334,3222.0,124417.16666666667,3222.0,18532990.0,61204906.0,310006044.0,88920116.0,76227850.0,35337286.0,44298648.0,43458218.0,13476450.0,5197876.0,2234188.0,579994.0,275418.0
CT,3,20.2,28.7,33.9,57.833333333333336,3362.0,983.5,7096.166666666667,167338.5,7849.333333333333,10919686.0,39097624.0,178883628.0,47969290.0,47404610.0,21850514.0,25388534.0,24884630.0,8174368.0,2346480.0,538442.0,150658.0,176102.0
DE,3,21.8,26.6,31.8,9.5,386.1666666666667,249.5,1806.8333333333333,40040.666666666664,1806.8333333333333,2896384.0,10644010.0,48161080.0,12865534.0,12087136.0,5873112.0,7304082.0,6610138.0,2455292.0,760896.0,179638.0,14442.0,10810.0
GA,3,24.8,27.6,33.6,26.5,1598.0,1019.1666666666666,11927.5,297989.8333333333,0.0,27724862.0,119547788.0,504594384.0,122180606.0,122979486.0,62042658.0,79701720.0,74540206.0,27415312.0,9210612.0,4941184.0,1283144.0,299456.0
ID,3,18.1,24.0,27.6,0.8333333333333334,72.33333333333333,24.666666666666668,818.8333333333334,35724.333333333336,818.8333333333334,5345914.0,19212998.0,77519488.0,20836298.0,20245620.0,9191510.0,11058604.0,9795942.0,3686356.0,1661498.0,866666.0,140740.0,36254.0
IL,3,24.3,28.5,35.2,97.83333333333333,4150.833333333333,4243.0,24998.833333333332,566079.8333333334,24998.833333333332,41935656.0,136439464.0,614234152.0,173687994.0,150744392.0,70326416.0,85810258.0,86401784.0,31434706.0,9214110.0,4932592.0,1259120.0,422780.0
IN,3,24.5,32.6,37.3,34.166666666666664,1736.3333333333333,1284.5,7581.5,236074.16666666666,6470.0,19157072.0,74529220.0,328396682.0,83953348.0,82871548.0,40177180.0,48766046.0,47642552.0,16291536.0,5596744.0,2378788.0,533710.0,185230.0
