Period,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,State
10.0,1119122.857142857,4853189.714285715,16332969.57142857,3762372.0,3992342.4285714286,1919738.5714285714,2538684.8571428573,2430802.1428571427,968819.0,423244.28571428574,230130.14285714287,56370.28571428572,10465.857142857143,MS
10.0,558378.4285714285,1557150.7142857143,5754085.0,1606515.5714285714,1505932.857142857,627228.1428571428,698821.0,663405.0,324612.14285714284,198302.7142857143,98947.57142857143,18684.285714285714,11635.714285714286,MT
10.0,4644154.0,16123086.0,62635322.571428575,14244623.142857144,14861582.857142856,7705622.285714285,10060640.0,9852028.57142857,3487324.285714286,1340284.5714285714,827262.2857142857,200890.57142857142,55064.0,NC
10.0,366163.85714285716,1150399.142857143,4082131.0,1113718.0,1058867.0,518262.14285714284,516456.0,410170.28571428574,209886.2857142857,154867.42857142858,76438.0,16104.42857142857,7361.428571428572,ND
10.0,923789.2857142857,2926683.714285714,10863682.57142857,2771103.714285714,2748104.714285714,1329989.5714285714,1603256.4285714286,1388807.0,514869.0,290650.28571428574,167197.57142857142,34310.57142857143,15393.714285714286,NE
10.0,610526.5714285715,2102389.4285714286,9464999.714285715,2176921.4285714286,2218402.285714286,1102983.142857143,1411396.857142857,1569245.4285714286,684457.7142857143,242364.85714285713,48242.57142857143,5536.285714285715,5449.142857142857,NH
10.0,4817308.857142857,12999731.142857144,58119690.571428575,17348060.57142857,14082406.57142857,6457944.0,7976040.857142857,7773884.285714285,2888358.0,1111627.142857143,358530.0,67701.42857142857,55137.71428571428,NJ
10.0,1035580.8571428572,3153626.4285714286,13722163.0,3658737.0,3520356.285714286,1670591.5714285714,1966169.0,1581733.142857143,650893.4285714285,395061.14285714284,210537.14285714287,53556.857142857145,14527.42857142857,NM
10.0,1693515.0,4374797.0,15478163.714285715,4591743.142857143,3538833.1428571427,1808112.2857142857,2434795.714285714,2198377.5714285714,416247.71428571426,222759.57142857142,195717.85714285713,47097.71428571428,24479.0,NV
10.0,12259813.714285715,26824604.285714287,136864082.85714287,42451121.71428572,33017570.0,15658594.0,19681960.0,17828376.85714286,5150010.0,1939711.7142857143,825586.5714285715,168728.85714285713,142423.14285714287,NY
10.0,5652316.571428572,17726567.42857143,72345110.85714285,18858551.42857143,17090360.0,8470444.857142856,11017475.714285715,11156425.714285715,3592968.8571428573,1315350.857142857,638968.8571428572,134993.14285714287,69571.42857142857,OH
10.0,1861917.4285714286,6024240.571428572,22413636.285714287,5672012.0,5491078.0,2611208.285714286,3295439.1428571427,3385207.1428571427,1133580.0,506860.28571428574,253832.85714285713,50294.28571428572,14124.285714285714,OK
10.0,2346877.714285714,6033497.142857143,23175060.714285713,6808448.857142857,5656940.857142857,2605998.714285714,3038680.8571428573,3177670.0,1075044.142857143,514765.85714285716,218471.57142857142,50537.0,28502.85714285714,OR
10.0,6476433.714285715,19137686.285714287,76719526.28571428,21071335.714285713,18274799.714285713,8941549.42857143,11373603.42857143,10878410.857142856,3587809.714285714,1595505.4285714286,829283.4285714285,110976.57142857143,56252.0,PA
10.0,522621.14285714284,1592008.857142857,6779984.0,1857174.0,1729734.5714285714,805022.5714285715,971963.7142857143,957662.0,315145.14285714284,99128.85714285714,32399.14285714286,6328.571428571428,5425.428571428572,RI
10.0,2157598.0,8010656.0,31126784.0,7417230.0,7527284.285714285,3859222.285714286,4911676.857142857,4784297.428571428,1545838.857142857,582230.5714285715,386324.85714285716,84185.71428571429,28493.14285714286,SC
10.0,393779.71428571426,1362288.0,5068404.714285715,1309047.2857142857,1259851.4285714286,596657.2857142857,700049.0,621990.1428571428,289093.0,169238.2857142857,97720.85714285714,19157.428571428572,5600.0,SD
10.0,2953554.285714286,10586465.714285715,41465522.85714286,9846091.714285715,9905249.142857144,5032008.857142857,6480526.857142857,6542134.571428572,2174768.5714285714,815379.4285714285,483352.28571428574,143896.2857142857,42115.142857142855,TN
