State,Period,Depression_Score,Anxiety_Score,Mix_Score
Washington,13,23.6,32.7,37.2
West Virginia,13,25.2,29.0,34.5
Wisconsin,13,20.2,25.2,29.1
Wyoming,13,21.9,32.8,35.6
Alabama,14,25.2,33.7,38.1
Alaska,14,23.6,28.4,33.6
Arizona,14,26.5,33.4,39.0
Arkansas,14,29.8,36.0,41.1
California,14,27.6,34.2,39.1
Colorado,14,22.7,33.4,36.7
Connecticut,14,21.2,33.1,36.1
Delaware,14,23.3,29.8,33.3
District of Columbia,14,20.9,33.3,36.3
Florida,14,25.3,31.3,36.4
Georgia,14,23.2,31.1,34.3
Hawaii,14,29.4,34.4,39.4
Idaho,14,21.8,31.2,35.3
Illinois,14,24.2,32.6,37.6
Indiana,14,20.7,30.0,33.1
Iowa,14,22.8,26.8,32.0
Kansas,14,19.3,28.7,32.5
Kentucky,14,30.1,34.2,40.3
Louisiana,14,30.3,36.8,41.7
Maine,14,20.4,29.8,33.7
Maryland,14,23.3,29.8,35.4
Massachusetts,14,20.5,28.7,32.7
Michigan,14,23.4,32.4,36.2
Minnesota,14,18.6,26.0,30.6
Mississippi,14,28.4,31.3,38.6
Missouri,14,21.8,29.0,33.1
Montana,14,22.2,29.6,33.1
Nebraska,14,21.7,25.7,30.4
Nevada,14,27.1,32.1,37.6
New Hampshire,14,22.1,31.6,34.9
New Jersey,14,21.9,30.7,35.4
New Mexico,14,27.5,34.7,40.2
New York,14,25.1,33.5,37.7
North Carolina,14,20.9,27.4,32.2
North Dakota,14,17.4,22.2,26.3
Ohio,14,25.4,32.1,36.4
Oklahoma,14,26.5,34.5,38.4
Oregon,14,26.7,36.9,40.9
Pennsylvania,14,22.9,29.8,34.7
Rhode Island,14,25.3,31.1,34.9
South Carolina,14,22.9,27.7,31.6
South Dakota,14,20.2,24.7,29.9
Tennessee,14,24.0,27.6,32.4
Texas,14,26.9,32.6,38.2
Utah,14,22.0,29.2,33.3
Vermont,14,19.6,30.2,34.5
Virginia,14,22.4,29.1,33.3
Washington,14,22.7,30.8,35.4
West Virginia,14,26.9,33.5,38.4
Wisconsin,14,19.3,27.5,31.3
Wyoming,14,23.6,29.4,33.6
Alabama,15,28.6,30.8,37.2
